tool,refactoring,input,output,LLM,Date,LLM Output,LLM Answer,Correct,,,,,,,,
Eclipse,Pull Up Method,"package Package_0;
abstract public class ClassId_0 extends ClassId_1 {
  public long m_0(  int a){
    return super.methodid_0(2);
  }
  abstract long m_0();
}

package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
abstract public class ClassId_0 extends ClassId_1 {
  abstract long m_0();
}

package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  long methodid_0(  int a){
    return 0;
  }

public long m_0(int a) {
    return this.methodid_0(2);
  }
}

package Package_1;
public interface ClassId_2 {
}",gpt-oss:20b,2026-07-06,"- **Pull Up Method**

  *The concrete implementation of `m_0(int a)` was moved from the subclass (`ClassId_0`) to its superclass (`ClassId_1`). In the original code, `ClassId_0` defined this method; in the transformed version it no longer contains that implementation but retains the abstract declaration. The superclass now provides the concrete behavior, matching the definition of a Pull Up Method refactoring.*",- **Pull Up Method**,Yes,,,,,,,,
JRRT,Pull Up Method,"package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_2 {
  protected long m_0(  int a){
    return super.methodid_0(2);
  }
}

package Package_1;
abstract public class ClassId_0 extends ClassId_2 {
  abstract long m_0(  int a);
}

package Package_1;
public class ClassId_2 {
  protected long methodid_0(  int a){
    return 0;
  }
}","package Package_0;
import Package_1.*;

abstract public class ClassId_1 extends ClassId_2  {
  protected long m_0(int a) {
    return super.methodid_0(2);
  }
}
package Package_1;

abstract public class ClassId_0 extends ClassId_2  {
}
package Package_1;

abstract public class ClassId_2  {
  abstract long m_0(int a);
  protected long methodid_0(int a) {
    return 0;
  }
}",gpt-oss:20b,2026-07-06,"- **Pull Up Method**

  * The abstract `m_0` method originally declared in `ClassId_0` was moved up into its parent class `ClassId_2`.  
  * In the transformed version, `ClassId_0` no longer declares the method, while `ClassId_2` now contains an abstract declaration of it. This is a classic “Pull Up Method” refactoring that consolidates the common abstraction in the superclass.",- **Pull Up Method**,Yes,,,,,,,,
JRRT,Pull Up Method,"package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_1 {
  abstract long m_0(  long a);
}

package Package_1;
abstract public class ClassId_1 {
  abstract long m_0();
}

package Package_1;
public class ClassId_2 {
  protected long methodid_0(){
    return 0;
  }
}","package Package_0;
import Package_1.*;

abstract public class ClassId_0 extends ClassId_1  {
}
package Package_1;

abstract public class ClassId_1  {
  abstract long m_0();
  abstract long m_0(long a);
}
package Package_1;

public class ClassId_2  {
  protected long methodid_0() {
    return 0;
  }
}",gpt-oss:20b,2026-07-06,"- **Pull Up Method**

  * The abstract method `m_0(long a)` that existed in `ClassId_0` (subclass) has been moved to its parent class `ClassId_1`.  
  * Consequently, `ClassId_0` no longer declares the method, and `ClassId_1` now declares both `m_0()` (original) and `m_0(long a)` (pulled‑up).  
  * No other structural changes (renames, field moves, etc.) are present.",- **Pull Up Method**,Yes,,,,,,,,
Eclipse,Pull Up Method,"package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  public long methodid_0(){
    return 0;
  }
}

package Package_1;
import Package_0.*;
abstract public class ClassId_0 extends ClassId_1 {
  public long m_0(){
    return methodid_0();
  }
  abstract long m_0(  long a);
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  public long methodid_0(){
    return 0;
  }

public long m_0() {
    return methodid_0();
  }
}

package Package_1;
import Package_0.*;
abstract public class ClassId_0 extends ClassId_1 {
  abstract long m_0(  long a);
}

package Package_1;
public interface ClassId_2 {
}",gpt-oss:20b,2026-07-06,"- **Pull Up Method**

  *The non‑abstract `m_0()` method was moved from the subclass `ClassId_0` to its superclass `ClassId_1`. In the original version, `m_0()` resided only in `ClassId_0`; after the transformation it appears directly in `ClassId_1`, while the abstract overload remains unchanged.*",- **Pull Up Method**,Yes,,,,,,,,
JRRT,Pull Up Method,"package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_1 {
  public abstract long m_0(  int a);
}

package Package_1;
public class ClassId_1 {
  protected long methodid_0(){
    return 0;
  }
}

package Package_1;
public class ClassId_2 extends ClassId_1 {
  protected long m_0(  int a){
    return this.methodid_0();
  }
}","package Package_0;
import Package_1.*;

abstract public class ClassId_0 extends ClassId_1  {
}
package Package_1;

abstract public class ClassId_1  {
  abstract protected long m_0(int a);
  protected long methodid_0() {
    return 0;
  }
}
package Package_1;

public class ClassId_2 extends ClassId_1  {
  protected long m_0(int a) {
    return this.methodid_0();
  }
}",gpt-oss:20b,2026-07-06,"- **Pull Up Method** – The declaration of `m_0(int a)` was moved from the subclass `ClassId_0` to its superclass `ClassId_1`, making `ClassId_1` abstract and removing the method signature from `ClassId_0`. No other refactorings were applied.","- **Pull Up Method** – The declaration of `m_0(int a)` was moved from the subclass `ClassId_0` to its superclass `ClassId_1`, making `ClassId_1` abstract and removing the method signature from `ClassId_0`. No other refactorings were applied.",Yes,,,,,,,,
JRRT,Pull Up Method,"package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_2 {
  long m_0(){
    return this.methodid_0();
  }
}

package Package_1;
abstract public class ClassId_0 extends ClassId_2 {
  abstract long m_0();
}

package Package_1;
public class ClassId_2 {
  public long methodid_0(){
    return 0;
  }
}","package Package_0;
import Package_1.*;

abstract public class ClassId_1 extends ClassId_2  {
  long m_0() {
    return this.methodid_0();
  }
}
package Package_1;

abstract public class ClassId_0 extends ClassId_2  {
}
package Package_1;

abstract public class ClassId_2  {
  abstract long m_0();
  public long methodid_0() {
    return 0;
  }
}",gpt-oss:20b,2026-07-06,"- **Pull Up Method**

**Justification**

- In the original code, `ClassId_0` declares an abstract method `m_0()`.  
- In the transformed version, that declaration is removed from `ClassId_0` and added to its superclass `ClassId_2`, which now also becomes abstract.  
- This movement of a method definition from a subclass (`ClassId_0`) up to its parent class (`ClassId_2`) matches the **Pull Up Method** refactoring.",- **Pull Up Method**,Yes,,,,,,,,
JRRT,Pull Up Method,"package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_2 {
  private long m_0(  long a){
    return 1;
  }
}

package Package_1;
abstract public class ClassId_0 extends ClassId_2 {
  protected abstract long m_0(  long a);
}

package Package_1;
public class ClassId_2 {
  private long methodid_0(){
    return 0;
  }
}","package Package_0;
import Package_1.*;

public class ClassId_1 extends ClassId_2  {
  protected long m_0(long a) {
    return 1;
  }
}
package Package_1;

abstract public class ClassId_0 extends ClassId_2  {
}
package Package_1;

abstract public class ClassId_2  {
  abstract protected long m_0(long a);
  private long methodid_0() {
    return 0;
  }
}",gpt-oss:20b,2026-07-06,"- **Pull Up Method**

  * In the original code `ClassId_1` defines a private method `m_0(long)`.  
    The transformed version removes this concrete implementation from `ClassId_1`, changes its visibility to protected, and declares an abstract `m_0(long)` in the superclass `ClassId_2`.  
    This is precisely a *Pull Up Method* refactoring: the method is moved (pulled up) from the subclass into the parent class, allowing subclasses to provide concrete implementations.",- **Pull Up Method**,Yes,,,,,,,,
JRRT,Pull Up Method,"package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_2 {
  private long methodid_0(  int a){
    return 1;
  }
}

package Package_1;
abstract public class ClassId_0 extends ClassId_2 {
  abstract long m_0(  long a);
}

package Package_1;
public class ClassId_2 {
  long m_0(){
    return 0;
  }
}","package Package_0;
import Package_1.*;

abstract public class ClassId_1 extends ClassId_2  {
  private long methodid_0(int a) {
    return 1;
  }
}
package Package_1;

abstract public class ClassId_0 extends ClassId_2  {
}
package Package_1;

abstract public class ClassId_2  {
  long m_0() {
    return 0;
  }
  abstract long m_0(long a);
}",gpt-oss:20b,2026-07-06,"- **Pull Up Method**

**Justification**

* In the original code, `ClassId_0` declares an abstract method `m_0(long a)` that is never implemented in any subclass.
* The transformed version removes this method from `ClassId_0` and adds it to its superclass, `ClassId_2`.  
  * `ClassId_2` now contains the signature `abstract long m_0(long a);`.
* Because an abstract method has been moved up the inheritance hierarchy, the operation is precisely a **Pull Up Method** refactoring.",- **Pull Up Method**,Yes,,,,,,,,
JRRT,Pull Up Method,"package Package_0;
abstract public class ClassId_0 extends ClassId_1 {
  abstract long m_0();
}

package Package_0;
public class ClassId_1 {
  protected long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_2 extends ClassId_1 {
  private long m_0(){
    return this.methodid_0(2);
  }
}","package Package_0;

abstract public class ClassId_0 extends ClassId_1  {
}
package Package_0;

abstract public class ClassId_1  {
  abstract long m_0();
  protected long methodid_0(int a) {
    return 0;
  }
}
package Package_1;
import Package_0.*;

abstract public class ClassId_2 extends ClassId_1  {
  private long m_0() {
    return this.methodid_0(2);
  }
}",gpt-oss:20b,2026-07-06,"- **Pull Up Method**

  - The abstract method `m_0()` was originally declared in `ClassId_0`.  
  - In the transformed version it has been moved to its superclass `ClassId_1` (which is now marked `abstract`).  
  - Consequently, `ClassId_0` no longer contains `m_0()`, and `ClassId_2` must be declared abstract because the inherited method remains unimplemented in a concrete form. This change reflects a classic Pull‑Up Method refactoring.",- **Pull Up Method**,Yes,,,,,,,,
JRRT,Pull Up Method,"package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_2 {
  abstract long m_0(  long a);
}

package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_2 {
  public long methodid_0(  int a){
    return 1;
  }
}

package Package_1;
public class ClassId_2 {
  public long methodid_0(){
    return 0;
  }
}","package Package_0;
import Package_1.*;

abstract public class ClassId_0 extends ClassId_2  {
}
package Package_0;
import Package_1.*;

abstract public class ClassId_1 extends ClassId_2  {
  public long methodid_0(int a) {
    return 1;
  }
}
package Package_1;

abstract public class ClassId_2  {
  abstract long m_0(long a);
  public long methodid_0() {
    return 0;
  }
}",gpt-oss:20b,2026-07-06,"- **Pull Up Method**

  * The abstract method `m_0(long a)` that originally resided only in `ClassId_0` has been moved to its superclass `ClassId_2`.  
  * As a consequence, the subclass `ClassId_1`, which no longer implements any abstract methods from `ClassId_2`, is marked as abstract. This change reflects the typical effect of pulling an abstract method up in the hierarchy.",- **Pull Up Method**,Yes,,,,,,,,
JRRT,Pull Up Method,"package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_2 {
  abstract long m_0(  int a);
}

package Package_1;
public class ClassId_1 {
  long m_0(  long a){
    return 0;
  }
}

package Package_1;
abstract public class ClassId_2 {
  abstract long m_0();
}","package Package_0;
import Package_1.*;

abstract public class ClassId_0 extends ClassId_2  {
}
package Package_1;

public class ClassId_1  {
  long m_0(long a) {
    return 0;
  }
}
package Package_1;

abstract public class ClassId_2  {
  abstract long m_0();
  abstract long m_0(int a);
}",gpt-oss:20b,2026-07-06,"- **Pull Up Method**

  * The abstract method `m_0(int a)` that was originally declared only in `ClassId_0` has been removed from that subclass and added as an abstract declaration in its superclass `ClassId_2`.  
  * This is exactly the effect of a “pull up” refactoring: moving a method from a child class to its parent so that it can be implemented by all subclasses.",- **Pull Up Method**,Yes,,,,,,,,
JRRT,Pull Up Method,"package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_2 {
  protected abstract long m_0(  int a);
}

package Package_1;
public class ClassId_1 extends ClassId_2 {
  private long m_0(  int a){
    return 1;
  }
}

package Package_1;
public class ClassId_2 {
  protected long methodid_0(  int a){
    return 0;
  }
}","package Package_0;
import Package_1.*;

abstract public class ClassId_0 extends ClassId_2  {
}
package Package_1;

public class ClassId_1 extends ClassId_2  {
  long m_0(int a) {
    return 1;
  }
}
package Package_1;

abstract public class ClassId_2  {
  abstract long m_0(int a);
  protected long methodid_0(int a) {
    return 0;
  }
}",gpt-oss:20b,2026-07-06,"- **Pull Up Method**

  * The method `m_0(int)` was originally declared as an abstract protected method in `ClassId_0` and implemented privately in `ClassId_1`.  
  * In the transformed version, the declaration of `m_0(int)` has been moved to `ClassId_2`, which is now marked `abstract`.  
  * Consequently, `ClassId_0` no longer declares or implements the method, while `ClassId_1` retains its concrete implementation. This matches the definition of a Pull Up Method refactoring.",- **Pull Up Method**,Yes,,,,,,,,
Eclipse,Pull Up Method,"package Package_0;
abstract public class ClassId_0 extends ClassId_1 {
  private long m_0(){
    return super.methodid_0();
  }
  protected abstract long m_0(  int a);
}

package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  long methodid_0(){
    return 0;
  }
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
abstract public class ClassId_0 extends ClassId_1 {
  protected abstract long m_0(  int a);
}

package Package_0;
import Package_1.*;
public class ClassId_1 implements ClassId_2 {
  long methodid_0(){
    return 0;
  }

private long m_0() {
    return this.methodid_0();
  }
}

package Package_1;
public interface ClassId_2 {
}",gpt-oss:20b,2026-07-06,"- **Push Down Method** – The private `m_0()` that was defined in `ClassId_0` and called `super.methodid_0()` has been removed from `ClassId_0` and added to its subclass `ClassId_1`.  
  *Justification*: The method’s body is identical except for the use of `this.methodid_0()` instead of `super.methodid_0()`, preserving behavior while relocating it to a more appropriate class. No other refactorings are evident in the code change.",- **Push Down Method** – The private `m_0()` that was defined in `ClassId_0` and called `super.methodid_0()` has been removed from `ClassId_0` and added to its subclass `ClassId_1`.,No,,,,,,,,
JRRT,Pull Up Method,"package Package_0;
import Package_1.*;
abstract public class ClassId_0 extends ClassId_2 {
  protected abstract long m_0(  int a);
}

package Package_1;
public class ClassId_1 extends ClassId_2 {
  long m_0(  int a){
    return this.methodid_0();
  }
}

package Package_1;
public class ClassId_2 {
  public long methodid_0(){
    return 0;
  }
}","package Package_0;
import Package_1.*;

abstract public class ClassId_0 extends ClassId_2  {
}
package Package_1;

public class ClassId_1 extends ClassId_2  {
  long m_0(int a) {
    return this.methodid_0();
  }
}
package Package_1;

abstract public class ClassId_2  {
  abstract long m_0(int a);
  public long methodid_0() {
    return 0;
  }
}",gpt-oss:20b,2026-07-06,"- **Pull Up Method**

  * The original code declared an abstract method `m_0(int)` in the subclass `ClassId_0`.  
  * In the transformed version this declaration was removed from `ClassId_0` and added to its superclass `ClassId_2` as an abstract method.  
  * This is exactly a “Pull Up Method” refactoring: moving a method (in this case the abstract signature) from a child class to its parent class.",- **Pull Up Method**,Yes,,,,,,,,
Eclipse,Pull Up Method,"package Package_0;
public class ClassId_1 {
  private long m_0(  long a){
    return 1;
  }
  public long methodid_0(){
    return 0;
  }
}

package Package_1;
abstract public class ClassId_0 implements ClassId_2 {
  public abstract long m_0(  long a);
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
public class ClassId_1 {
  private long m_0(  long a){
    return 1;
  }
  public long methodid_0(){
    return 0;
  }
}

package Package_1;
abstract public class ClassId_0 implements ClassId_2 {
  public abstract long m_0(  long a);
}

package Package_1;
public interface ClassId_2 {

	long m_0(long a);
}",gpt-oss:20b,2026-07-06,"- **Extract Interface**

  *The transformation adds the declaration `long m_0(long a);` to `ClassId_2`, an interface that was previously empty. This effectively extracts the existing abstract method `m_0` from `ClassId_0` into the interface, aligning with the definition of “Extract Interface.” No other refactorings are evident in the code changes.*",- **Extract Interface**,No,,,,,,,,
Netbeans,Push Down Field,"package Package_0;
import Package_1.*;
public class A_0 implements ClassId_1 {
  long methodid_0(  int a){
    return A_0.this.fieldid_0;
  }
  protected int fieldid_0=11;
}

package Package_1;
import Package_0.*;
public class ClassId_0 extends A_0 {
  public long methodid_0(){
    return fieldid_0;
  }
}

package Package_1;
public interface ClassId_1 {
  public int fieldid_0=10;
}","package Package_0;
import Package_1.*;
public class A_0 implements ClassId_1 {
  long methodid_0(  int a){
    return A_0.this.fieldid_0;
  }
}


package Package_1;
import Package_0.*;
public class ClassId_0 extends A_0 {

    protected int fieldid_0 = 11;
  public long methodid_0(){
    return fieldid_0;
  }
}


package Package_1;
public interface ClassId_1 {
  public int fieldid_0=10;
}",gpt-oss:20b,2026-07-06,- **Push Down Field** – The `protected int fieldid_0 = 11` that originally belonged to the superclass `A_0` has been removed from `A_0` and re‑declared in its subclass `ClassId_0`. This relocation moves the field from a parent class down to one of its child classes.,- **Push Down Field** – The `protected int fieldid_0 = 11` that originally belonged to the superclass `A_0` has been removed from `A_0` and re‑declared in its subclass `ClassId_0`. This relocation moves the field from a parent class down to one of its child classes.,Yes,,,,,,,,
JRRT,Push Down Field,"package Package_0;
public class A_0 {
  protected long methodid_0(  int a){
    return 0;
  }
  public int fieldid_0=10;
}

package Package_0;
public class ClassId_0 extends A_0 {
  public long methodid_0(){
    return ClassId_0.this.fieldid_0;
  }
}

package Package_1;
public class ClassId_1 {
  public int fieldid_0=11;
}","package Package_0;

public class A_0  {
  protected long methodid_0(int a) {
    return 0;
  }
}
package Package_0;

public class ClassId_0 extends A_0  {
  public int fieldid_0 = 10;
  public long methodid_0() {
    return ClassId_0.this.fieldid_0;
  }
}
package Package_1;

public class ClassId_1  {
  public int fieldid_0 = 11;
}",gpt-oss:20b,2026-07-06,"- **Push Down Field** – The `fieldid_0` member was moved from the superclass `A_0` down into its subclass `ClassId_0`.

**Justification**

* In the original version, `fieldid_0` is declared in class `A_0`.  
  ```java
  public class A_0 { 
      public int fieldid_0 = 10; 
  }
  ```
* In the transformed version, that declaration no longer exists in `A_0`; instead `ClassId_0` now declares its own `fieldid_0`.
  ```java
  public class ClassId_0 extends A_0 { 
      public int fieldid_0 = 10; 
  }
  ```
* The method `methodid_0()` in `ClassId_0` continues to use `fieldid_0`, but it now refers to the field defined in its own class (`ClassId_0.this.fieldid_0`). This change is a direct consequence of moving the field down.  

No other refactoring types are evident from the code changes.",- **Push Down Field** – The `fieldid_0` member was moved from the superclass `A_0` down into its subclass `ClassId_0`.,Yes,,,,,,,,
JRRT,Push Down Field,"package Package_0;
import Package_1.*;
public class ClassId_0 extends A_0 {
  public long methodid_0(){
    return this.fieldid_0;
  }
}

package Package_1;
public class A_0 implements ClassId_1 {
  private long methodid_0(  int a){
    return 0;
  }
  public int fieldid_0=11;
}

package Package_1;
public interface ClassId_1 {
  public int fieldid_0=10;
}","package Package_0;
import Package_1.*;

public class ClassId_0 extends A_0  {
  public int fieldid_0 = 11;
  public long methodid_0() {
    return this.fieldid_0;
  }
}
package Package_1;

public class A_0 implements ClassId_1  {
  private long methodid_0(int a) {
    return 0;
  }
}
package Package_1;

public interface ClassId_1  {
  public int fieldid_0 = 10;
}",gpt-oss:20b,2026-07-06,"- **Push Down Field** – The field `fieldid_0` was originally declared in the superclass `A_0`. In the transformed version, this field has been removed from `A_0` and re‑declared in its subclass `ClassId_0`, thereby moving the field down the inheritance hierarchy. No other refactorings (renames, parameter changes, method moves, etc.) are present in the code change.","- **Push Down Field** – The field `fieldid_0` was originally declared in the superclass `A_0`. In the transformed version, this field has been removed from `A_0` and re‑declared in its subclass `ClassId_0`, thereby moving the field down the inheritance hierarchy. No other refactorings (renames, parameter changes, method moves, etc.) are present in the code change.",Yes,,,,,,,,
Netbeans,Push Down Field,"package Package_0;
import Package_1.*;
public class A_0 implements ClassId_1 {
  long methodid_0(  long a){
    return A_0.this.fieldid_0;
  }
  public int fieldid_0=11;
}

package Package_1;
import Package_0.*;
public class ClassId_0 extends A_0 {
  public long methodid_0(){
    return this.fieldid_0;
  }
}

package Package_1;
public interface ClassId_1 {
  public int fieldid_0=10;
}","package Package_0;
import Package_1.*;
public class A_0 implements ClassId_1 {
  long methodid_0(  long a){
    return A_0.this.fieldid_0;
  }
}


package Package_1;
import Package_0.*;
public class ClassId_0 extends A_0 {

    public int fieldid_0 = 11;
  public long methodid_0(){
    return this.fieldid_0;
  }
}


package Package_1;
public interface ClassId_1 {
  public int fieldid_0=10;
}",gpt-oss:20b,2026-07-06,"- **Push Down Field** – The field `fieldid_0` was moved from the superclass `A_0` to its subclass `ClassId_0`. In the original version, `A_0` declared `public int fieldid_0 = 11;`, while `ClassId_0` had no such field. After transformation, the declaration is removed from `A_0` and added to `ClassId_0`, retaining its value and visibility. No other refactorings are evident.","- **Push Down Field** – The field `fieldid_0` was moved from the superclass `A_0` to its subclass `ClassId_0`. In the original version, `A_0` declared `public int fieldid_0 = 11;`, while `ClassId_0` had no such field. After transformation, the declaration is removed from `A_0` and added to `ClassId_0`, retaining its value and visibility. No other refactorings are evident.",Yes,,,,,,,,
Netbeans,Push Down Field,"package Package_0;
import Package_1.*;
public class ClassId_0 extends A_0 {
  public long methodid_0(){
    return ClassId_0.this.fieldid_0;
  }
}

package Package_1;
public class A_0 implements ClassId_1 {
  private long methodid_0(  int a){
    return fieldid_0;
  }
  public int fieldid_0=11;
}

package Package_1;
public interface ClassId_1 {
  public int fieldid_0=10;
}","package Package_0;
import Package_1.*;
public class ClassId_0 extends A_0 {

    public int fieldid_0 = 11;
  public long methodid_0(){
    return ClassId_0.this.fieldid_0;
  }
}


package Package_1;
public class A_0 implements ClassId_1 {
  private long methodid_0(  int a){
    return fieldid_0;
  }
}


package Package_1;
public interface ClassId_1 {
  public int fieldid_0=10;
}",gpt-oss:20b,2026-07-06,"- **Push Down Field** – The `fieldid_0` variable was moved from the superclass `A_0` to its subclass `ClassId_0`.  
  - In the original code, `A_0` declared `public int fieldid_0 = 11;`.  
  - After transformation, that declaration was removed from `A_0`, and an identical field was added to `ClassId_0`.  
  - The subclass now shadows the parent’s field, which is exactly what a push‑down refactoring accomplishes.",- **Push Down Field** – The `fieldid_0` variable was moved from the superclass `A_0` to its subclass `ClassId_0`.,Yes,,,,,,,,
Netbeans,Push Down Field,"package Package_0;
public class A_0 {
  long methodid_0(  long a){
    return 0;
  }
  protected int fieldid_0=11;
}

package Package_1;
import Package_0.*;
public class ClassId_0 extends A_0 {
  public long methodid_0(){
    return this.fieldid_0;
  }
}

package Package_1;
public class ClassId_1 {
  public int fieldid_0=10;
}","package Package_0;
public class A_0 {
  long methodid_0(  long a){
    return 0;
  }
}


package Package_1;
import Package_0.*;
public class ClassId_0 extends A_0 {

    protected int fieldid_0 = 11;
  public long methodid_0(){
    return this.fieldid_0;
  }
}


package Package_1;
public class ClassId_1 {
  public int fieldid_0=10;
}",gpt-oss:20b,2026-07-06,"- **Push Down Field**

  *The field `fieldid_0` was removed from the superclass `A_0` in package `Package_0` and added to its subclass `ClassId_0` in package `Package_1`. The visibility (`protected`) and initial value (`11`) remain unchanged. This matches the definition of a “Push Down Field” refactoring, where a field is moved from a parent class to one or more child classes.*",- **Push Down Field**,Yes,,,,,,,,
Netbeans,Push Down Field,"package Package_0;
import Package_1.*;
public class ClassId_0 extends A_0 {
  public long methodid_0(){
    return ClassId_0.this.fieldid_0;
  }
}

package Package_1;
public class A_0 implements ClassId_1 {
  private long methodid_0(  long a){
    return this.fieldid_0;
  }
  public int fieldid_0=10;
}

package Package_1;
public interface ClassId_1 {
  public int fieldid_0=11;
}","package Package_0;
import Package_1.*;
public class ClassId_0 extends A_0 {

    public int fieldid_0 = 10;
  public long methodid_0(){
    return ClassId_0.this.fieldid_0;
  }
}


package Package_1;
public class A_0 implements ClassId_1 {
  private long methodid_0(  long a){
    return this.fieldid_0;
  }
}


package Package_1;
public interface ClassId_1 {
  public int fieldid_0=11;
}",gpt-oss:20b,2026-07-06,"- **Push Down Field** – The `fieldid_0` instance variable was moved from class `A_0` (the superclass) to its subclass `ClassId_0`.  
  * In the original code, `A_0` declared `public int fieldid_0 = 10;`.  
  * In the transformed version, this declaration is removed from `A_0`, and an identical declaration appears in `ClassId_0`.  
  * All references to `fieldid_0` inside `ClassId_0` now resolve to the newly declared instance field.",- **Push Down Field** – The `fieldid_0` instance variable was moved from class `A_0` (the superclass) to its subclass `ClassId_0`.,Yes,,,,,,,,
Netbeans,Push Down Field,"package Package_0;
import Package_1.*;
public class A_0 implements ClassId_1 {
  long methodid_0(  int a){
    return fieldid_0;
  }
  protected int fieldid_0=10;
}

package Package_0;
public class ClassId_0 extends A_0 {
  public long methodid_0(){
    return ClassId_0.this.fieldid_0;
  }
}

package Package_1;
public interface ClassId_1 {
  public int fieldid_0=11;
}","package Package_0;
import Package_1.*;
public class A_0 implements ClassId_1 {
  long methodid_0(  int a){
    return fieldid_0;
  }
}


package Package_0;
public class ClassId_0 extends A_0 {

    protected int fieldid_0 = 10;
  public long methodid_0(){
    return ClassId_0.this.fieldid_0;
  }
}


package Package_1;
public interface ClassId_1 {
  public int fieldid_0=11;
}",gpt-oss:20b,2026-07-06,"- **Push Down Field**

  * In the original code `A_0` declares a protected field `fieldid_0`.  
  * After refactoring, that field declaration is removed from `A_0` and added to its subclass `ClassId_0`.  
  * The method in `ClassId_0` still accesses `fieldid_0`, which now refers to the subclass’s field. This change matches the definition of a **Push Down Field** refactoring.",- **Push Down Field**,Yes,,,,,,,,
Netbeans,Push Down Field,"package Package_0;
public class A_0 {
  public long methodid_0(){
    return 0;
  }
  protected int fieldid_0=10;
}

package Package_0;
public class ClassId_0 extends A_0 {
  public long methodid_0(){
    return ClassId_0.this.fieldid_0;
  }
}

package Package_1;
public class ClassId_1 {
  public int fieldid_0=11;
}","package Package_0;
public class A_0 {
  public long methodid_0(){
    return 0;
  }
}


package Package_0;
public class ClassId_0 extends A_0 {

    protected int fieldid_0 = 10;
  public long methodid_0(){
    return ClassId_0.this.fieldid_0;
  }
}


package Package_1;
public class ClassId_1 {
  public int fieldid_0=11;
}",gpt-oss:20b,2026-07-06,"- **Push Down Field**

**Justification**

* In the original code, `A_0` declares a protected field `fieldid_0`.  
* The transformed version removes that field from `A_0` and introduces an identical field in its subclass `ClassId_0`.  
* This is exactly the definition of a *Push Down Field* refactoring: moving a field from a superclass to one or more of its subclasses.",- **Push Down Field**,Yes,,,,,,,,
Netbeans,Push Down Field,"package Package_0;
public class A_0 {
  public long methodid_0(  int a){
    return 0;
  }
  protected int fieldid_0=11;
}

package Package_1;
import Package_0.*;
public class ClassId_0 extends A_0 {
  public long methodid_0(){
    return ClassId_0.this.fieldid_0;
  }
}

package Package_1;
public class ClassId_1 {
  public int fieldid_0=10;
}","package Package_0;
public class A_0 {
  public long methodid_0(  int a){
    return 0;
  }
}


package Package_1;
import Package_0.*;
public class ClassId_0 extends A_0 {

    protected int fieldid_0 = 11;
  public long methodid_0(){
    return ClassId_0.this.fieldid_0;
  }
}


package Package_1;
public class ClassId_1 {
  public int fieldid_0=10;
}",gpt-oss:20b,2026-07-06,"- **Push Down Field** – The `fieldid_0` declared in the superclass `A_0` is removed from that class and re‑declared inside its subclass `ClassId_0`.  
  - In the original version, `fieldid_0` is a protected field of `A_0`.  
  - In the transformed version, `A_0` no longer contains this field; instead `ClassId_0` declares its own `protected int fieldid_0 = 11`.  
  This change corresponds exactly to moving (pushing down) a field from a parent class to one of its child classes.",- **Push Down Field** – The `fieldid_0` declared in the superclass `A_0` is removed from that class and re‑declared inside its subclass `ClassId_0`.,Yes,,,,,,,,
Netbeans,Push Down Field,"package Package_0;
public class A_0 {
  long methodid_0(  int a){
    return 0;
  }
  public int fieldid_0=11;
}

package Package_0;
public class ClassId_0 extends A_0 {
  public long methodid_0(){
    return fieldid_0;
  }
}

package Package_1;
public class ClassId_1 {
  public int fieldid_0=10;
}","package Package_0;
public class A_0 {
  long methodid_0(  int a){
    return 0;
  }
}


package Package_0;
public class ClassId_0 extends A_0 {

    public int fieldid_0 = 11;
  public long methodid_0(){
    return fieldid_0;
  }
}


package Package_1;
public class ClassId_1 {
  public int fieldid_0=10;
}",gpt-oss:20b,2026-07-06,"- **Push Down Field**

**Justification**

* In the original code, `ClassId_0` inherits a public field `fieldid_0` from its superclass `A_0`.
* In the transformed version, that field is removed from `A_0` and declared directly inside `ClassId_0`.  
  The method in `ClassId_0` continues to reference `fieldid_0`, now resolved as a member of the subclass.
* This movement of a field from a superclass to its subclass corresponds exactly to the **Push Down Field** refactoring.",- **Push Down Field**,Yes,,,,,,,,
